year,round,driverId,stint,tyre,tyre_description,tyre_status,from_lap,to_lap
2019,2,albon,1,C3,Soft,Used,1,9
2019,2,albon,2,C3,Soft,New,10,25
2019,2,albon,3,C2,Medium,New,26,57
2019,2,bottas,1,C3,Soft,Used,1,12
2019,2,bottas,2,C2,Medium,New,13,37
2019,2,bottas,3,C3,Soft,Used,38,57
2019,2,gasly,1,C3,Soft,Used,1,9
2019,2,gasly,2,C3,Soft,New,10,39
2019,2,gasly,3,C2,Medium,New,40,57
2019,2,giovinazzi,1,C3,Soft,New,1,16
2019,2,giovinazzi,2,C2,Medium,New,17,40
2019,2,giovinazzi,3,C3,Soft,New,41,57
2019,2,grosjean,1,C3,Soft,Used,1,1
2019,2,grosjean,2,C2,Medium,New,2,16
2019,2,hamilton,1,C3,Soft,Used,1,13
2019,2,hamilton,2,C3,Soft,New,14,34
2019,2,hamilton,3,C2,Medium,New,35,57
2019,2,hulkenberg,1,C3,Soft,New,1,12
2019,2,hulkenberg,2,C3,Soft,New,13,32
2019,2,hulkenberg,3,C2,Medium,New,33,53
2019,2,kevin_magnussen,1,C3,Soft,Used,1,10
2019,2,kevin_magnussen,2,C2,Medium,New,11,38
2019,2,kevin_magnussen,3,C3,Soft,Used,39,56
2019,2,kubica,1,C2,Medium,New,1,11
2019,2,kubica,2,C3,Soft,New,12,27
2019,2,kubica,3,C2,Medium,Used,28,55
2019,2,kvyat,1,C3,Soft,New,1,12
2019,2,kvyat,2,C2,Medium,New,13,38
2019,2,kvyat,3,C3,Soft,New,39,56
2019,2,leclerc,1,C3,Soft,Used,1,13
2019,2,leclerc,2,C2,Medium,New,14,36
2019,2,leclerc,3,C2,Medium,New,37,57
2019,2,max_verstappen,1,C3,Soft,Used,1,11
2019,2,max_verstappen,2,C2,Medium,New,12,32
2019,2,max_verstappen,3,C2,Medium,New,33,57
2019,2,norris,1,C3,Soft,Used,1,10
2019,2,norris,2,C2,Medium,New,11,34
2019,2,norris,3,C3,Soft,Used,35,57
2019,2,perez,1,C3,Soft,New,1,8
2019,2,perez,2,C2,Medium,New,9,33
2019,2,perez,3,C2,Medium,New,34,57
2019,2,raikkonen,1,C3,Soft,Used,1,9
2019,2,raikkonen,2,C2,Medium,New,10,33
2019,2,raikkonen,3,C3,Soft,Used,34,57
2019,2,ricciardo,1,C3,Soft,New,1,24
2019,2,ricciardo,2,C2,Medium,New,25,53
2019,2,russell,1,C3,Soft,New,1,12
2019,2,russell,2,C2,Medium,New,13,26
2019,2,russell,3,C2,Medium,New,27,56
2019,2,sainz,1,C3,Soft,Used,1,4
2019,2,sainz,2,C2,Medium,New,5,24
2019,2,sainz,3,C1,Hard,Used,25,40
2019,2,sainz,4,C3,Soft,Used,41,53
2019,2,stroll,1,C3,Soft,New,1,1
2019,2,stroll,2,C2,Medium,New,2,23
2019,2,stroll,3,C2,Medium,New,24,56
2019,2,vettel,1,C3,Soft,Used,1,14
2019,2,vettel,2,C2,Medium,New,15,35
2019,2,vettel,3,C2,Medium,New,36,38
2019,2,vettel,4,C3,Soft,Used,39,57
